"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 07 18:57:51 GMT 2021","Mon Jun 07 18:57:52 GMT 2021","1663","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLogin","userLogin","Use correct login"
"unknown","Mon Jun 07 18:57:41 GMT 2021","Mon Jun 07 18:57:41 GMT 2021","2","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","newFeature1","newFeature1",""
"failed","Mon Jun 07 18:57:52 GMT 2021","Mon Jun 07 18:57:56 GMT 2021","3767","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLoginIncorrect","userLoginIncorrect","Use incorrect login"
