"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 25 18:44:43 GMT 2021","Sun Apr 25 18:44:45 GMT 2021","1617","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLoginLogin","userLoginLogin",""
"passed","Sun Apr 25 18:44:42 GMT 2021","Sun Apr 25 18:44:43 GMT 2021","572","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLogin","userLogin",""
