"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 06 10:03:59 GMT 2021","Sun Jun 06 10:03:59 GMT 2021","1","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLogin","userLogin","Use correct login"
"unknown","Sun Jun 06 10:03:47 GMT 2021","Sun Jun 06 10:03:47 GMT 2021","3","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","newFeature1","newFeature1",""
"broken","Sun Jun 06 10:03:52 GMT 2021","Sun Jun 06 10:03:52 GMT 2021","1","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","setUp","setUp",""
"broken","Sun Jun 06 10:04:05 GMT 2021","Sun Jun 06 10:04:05 GMT 2021","0","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLoginIncorrect","userLoginIncorrect","Use incorrect login"
