"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Sun Jun 06 10:13:52 GMT 2021","Sun Jun 06 10:13:52 GMT 2021","1","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","newFeature1","newFeature1",""
"broken","Sun Jun 06 10:14:07 GMT 2021","Sun Jun 06 10:14:07 GMT 2021","0","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLoginIncorrect","userLoginIncorrect","Use incorrect login"
"broken","Sun Jun 06 10:13:55 GMT 2021","Sun Jun 06 10:13:55 GMT 2021","3","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","setUp","setUp",""
"broken","Sun Jun 06 10:14:01 GMT 2021","Sun Jun 06 10:14:01 GMT 2021","1","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLogin","userLogin","Use correct login"
