"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 06 11:42:34 GMT 2021","Sun Jun 06 11:42:35 GMT 2021","1344","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLogin","userLogin","Use correct login"
"failed","Sun Jun 06 11:42:35 GMT 2021","Sun Jun 06 11:42:39 GMT 2021","3442","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","userLoginIncorrect","userLoginIncorrect","Use incorrect login"
"unknown","Sun Jun 06 11:42:21 GMT 2021","Sun Jun 06 11:42:21 GMT 2021","2","Surefire suite","Surefire test","com.example.e2e.tests.SeleniumDemoTest","com.example.e2e.tests.SeleniumDemoTest","newFeature1","newFeature1",""
